"";"Horodateur";"Gender";"Age";"Country";"Highest level of education attained";"Have you ever been diving or snorkeling?";"How would you evaluate your knowledge of coral reefs?";"Do you have problems with color perception?";"If you wish to exercise your right of withdrawal, please contact Gita ALISA gitaalisa0808@gmail.com with the following code :"
"1";2023-05-15;"Male";49;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_499ae7a274a72cae80adb0d2bb3796dc"
"2";2023-05-15;"Male";40;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_c65815cb2d47b8c1618490fe425ddcbf"
"3";2023-05-15;"Male";30;"French Polynesia";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_9d8c1de6dd43a12a2e9019c0db674c33"
"4";2023-05-15;"Female";31;"France";"Doctoral or Professional degree";"Only snorkeling";"Average";"No";"C_15_judge_31ef4c4e3e57492c991b4ed994955aec"
"5";2023-05-15;"Female";35;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_d3d5bacf0198697dc81ad4e789e6841d"
"6";2023-05-15;"Female";58;"French Southern Territories";"Master's degree";"Never";"Low";"No";"C_15_judge_42adbf78841fd88b065ecc0656c70602"
"7";2023-05-15;"Female";40;"Netherlands";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_cef8164f6617f592c87c6c3531431552"
"8";2023-05-15;"Female";33;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e0af106842f9400a5efe3ee72a422197"
"9";2023-05-15;"Male";29;"Spain";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_3a178e612f1b947327662368d7e242d9"
"10";2023-05-15;"Female";52;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_8e15c7481d80ea61a9abdb698f4518dd"
"11";2023-05-15;"Female";27;"France";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_a6267bce901155e75a05add9b8451040"
"12";2023-05-15;"Female";40;"Colombia";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_83a46c85af3e097d86a4a575a65ffe17"
"13";2023-05-15;"Female";37;"France";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_e7cbfacc7a83126cfcec944a825f79c4"
"14";2023-05-15;"Female";29;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_95f5ea23faf395bb6c5bbea1ec2376b3"
"15";2023-05-15;"Male";63;"France";"Doctoral or Professional degree";"Only snorkeling";"Average";"No";"C_15_judge_5812da54da2de6e34504cf4349fceaa4"
"16";2023-05-15;"Female";51;"France";"High school graduate";"Never";"Poor";"No";"C_15_judge_b3e232f2368f70d615449e8ed4824565"
"17";2023-05-15;"Male";30;"France";"Doctoral or Professional degree";"Only snorkeling";"Poor";"No";"C_15_judge_97c8bbc9c506906bfae08e52d71957f5"
"18";2023-05-15;"Female";24;"Italy";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_12026a12d6e6b393b74459358f51775d"
"19";2023-05-15;"Female";36;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_f3d6fe7a4e343e876e41ec6bd5aa80f4"
"20";2023-05-15;"Female";16;"French Southern Territories";"High school graduate";"Both diving and snorkeling";"Average";"No";"C_15_judge_e427303c3d0930c557319ebe2257fc00"
"21";2023-05-15;"Female";17;"French Southern Territories";"High school graduate";"Both diving and snorkeling";"Low";"No";"C_15_judge_86fb42383fdfc036b6e203cf8d209d22"
"22";2023-05-15;"Male";17;"France";"High school graduate";"Both diving and snorkeling";"Low";"No";"C_15_judge_d4470b3e1b5feaf2d9ac2033f64b9ee7"
"23";2023-05-15;"Other";19;"France";"High school graduate";"Never";"Poor";"No";"C_15_judge_df6a43c2f21f249f220aa110a21e2a15"
"24";2023-05-15;"Male";16;"French Southern Territories";"High school graduate";"Only diving";"Poor";"No";"C_15_judge_924071f1df2f33899058a1abddb71f3f"
"25";2023-05-15;"Female";51;"Australia";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_9f7a29893918c184bb4805cd976311a2"
"26";2023-05-16;"Female";18;"French Southern Territories";"High school graduate";"Never";"Poor";"No";"C_15_judge_4c4e9dc26b8596b94d6bed65cfdc9adb"
"27";2023-05-16;"Female";43;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_028dca6f386c7b8715bddc2c254989eb"
"28";2023-05-16;"Female";54;"France";"Doctoral or Professional degree";"Only snorkeling";"Average";"No";"C_15_judge_21357af747cd59081e5b1ffd123e19af"
