"";"Horodateur";"Genre";"Age";"Pays";"Plus haut niveau d'étude";"Avez-vous déjà fait de la plongée (bouteille et/ou masque et tuba)";"Comment évaluez-vous vos connaissances sur les récifs coralliens ?";"Avez vous des problèmes avec les perception des couleurs ?";"Si vous souhaitez exercer votre droit de rétractation, veuillez contacter Gita ALISA gitaalisa0808@gmail.com avec le code suivant :"
"1";2023-05-15;"Homme";51;"France";"Bac+8 (doctorat)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_1f45d0171d8bf10c7eb563aaf2457d0d"
"2";2023-05-15;"Femme";63;"France";"Bac+5";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_dd3575da823db87db94c85f939244c5c"
"3";2023-05-15;"Femme";35;"France";"Bac+5";"Les deux";"Bonne";"Non";"ID_JUGEC_18_judge_6903e81d8f32dd8f6bf96dd0482418c9"
"4";2023-05-15;"Homme";55;"France";"Bac+8 (doctorat)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_4c42dca0fa9daae3dd6af0d449acfe3c"
"5";2023-05-15;"Homme";55;"France";"Bac+8 (doctorat)";"Les deux";"Bonne";"Non";"ID_JUGEC_18_judge_209baec36c15fe5f9d4927fd42a7fe1c"
"6";2023-05-15;"Femme";58;"France";"Bac+3";"Non";"Faible";"Non";"ID_JUGEC_18_judge_44a824f501b72ec028b70e0469e78265"
"7";2023-05-15;"Homme";50;"France";"Bac+8 (doctorat)";"Les deux";"Aucune";"Non";"ID_JUGEC_18_judge_66ec4cf567db98dbd02913cc43b8f3d3"
"8";2023-05-15;"Homme";56;"France";"Bac+8 (doctorat)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_9a95ebfb2f822194d1d1b6384bf3a87f"
"9";2023-05-15;"Femme";59;"France";"Bac+3";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_e1b0599e1abb655f64202bf8c9447745"
"10";2023-05-15;"Femme";60;"France";"Bac+5";"Non";"Faible";"Non";"ID_JUGEC_18_judge_3a35396106b1b2ab9ffe7eef7f08c6e1"
"11";2023-05-15;"Homme";59;"France";"Bac+5";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_769c75dacac796b5546152ceb80fb284"
"12";2023-05-15;"Homme";54;"France";"Bac+8 (doctorat)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_24464e32f1ba7d96f6008a022e5a0f0b"
"13";2023-05-15;"Homme";63;"France";"Bac+8 (doctorat)";"Plongée bouteille";"Moyenne";"Non";"ID_JUGEC_18_judge_7f01a10819884e435119c5e86b8dbf28"
"14";2023-05-15;"Homme";63;"France";"Bac+8 (doctorat)";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_65a6177a2a6d7f48dab070a9fc1a42b2"
"15";2023-05-15;"Homme";62;"France";"Bac+8 (doctorat)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_ef67a39d58d2ea2bcf7d5af708020ffd"
"16";2023-05-15;"Femme";46;"France";"Bac+8 (doctorat)";"Les deux";"Aucune";"Non";"ID_JUGEC_18_judge_8336bc8a523bc04f6ccb6593131d55d3"
"17";2023-05-15;"Femme";37;"France";"Bac+3";"Non";"Faible";"Non";"ID_JUGEC_18_judge_685e0d81879e7d2dc9812dd590919eda"
"18";2023-05-15;"Femme";41;"France";"Bac+5";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_0abad6926ae8aafb3796d6dedca59ac2"
"19";2023-05-15;"Femme";19;"French Southern Territories";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_46a521deec29aedc1ff2ebece259c7db"
"20";2023-05-15;"Homme";34;"France";"Bac+5";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_2b5fa20c66c38a525f2d55822b0c9548"
"21";2023-05-15;"Femme";20;"France";"Bac+3";"Non";"Faible";"Non";"ID_JUGEC_18_judge_b5a751891615a679f98f71435f533c20"
"22";2023-05-15;"Homme";44;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Aucune";"Non";"ID_JUGEC_18_judge_ccc9c75a42bc5c08d65e8c5b9e79e579"
"23";2023-05-15;"Homme";41;"France";"Bac+3";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_b2c0009ee3063f7e1dfd8b212dba7bdb"
"24";2023-05-15;"Homme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_2c460f8ae9e6a47355cbe3493d79eaff"
"25";2023-05-15;"Femme";18;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_9ea102b5a8f7de329fb9aff55b4e4847"
"26";2023-05-15;"Homme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée masque et tuba";"Moyenne";"Non";"ID_JUGEC_18_judge_12fc7ab53d0457a6a8442fcf9f1cc9e4"
"27";2023-05-15;"Homme";19;"French Southern Territories";"Aucun";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_8b057278e5bff8c8394521e298eca662"
"28";2023-05-15;"Homme";19;"French Southern Territories";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_679fb221252687d173f33c597ef4c21e"
"29";2023-05-15;"Homme";16;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_2a09ba7b8cf5a7dc664167ba1d405127"
"30";2023-05-15;"Homme";54;"France";"Bac+5";"Plongée bouteille";"Aucune";"Non";"ID_JUGEC_18_judge_7d734c3c6c6a99fdb0141f91bdbe57f5"
"31";2023-05-15;"Homme";18;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_8365545550221734d5230c30fe312e2c"
"32";2023-05-15;"Homme";50;"France";"Bac+3";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_722a1e521359f92d352d144f24bc623b"
"33";2023-05-15;"Homme";18;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_e6926658e1f8418ae8b892a9dfd901ca"
"34";2023-05-15;"Homme";45;"France";"Bac+3";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_31cf3946737d75e5db8d7ec2ad0245b2"
"35";2023-05-15;"Femme";53;"France";"Bac+5";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_1030525ae48850f505a1f9ec82075374"
"36";2023-05-15;"Homme";45;"France";"Bac+8 (doctorat)";"Plongée masque et tuba";"Moyenne";"Non";"ID_JUGEC_18_judge_44cf65d7efdb1670761570c2d0b8bcba"
"37";2023-05-15;"Homme";50;"France";"Bac+8 (doctorat)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_36e53914d6ea5ad8c4b770782dd2e9bc"
"38";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_93758eb109577b0d8f18afda4e412c17"
"39";2023-05-15;"Homme";20;"French Southern Territories";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_87fe7ef355407297e5768abd0ebc0f7b"
"40";2023-05-15;"Femme";58;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_b0485b28b952a3e0879c22dba2bfdb6d"
"41";2023-05-15;"Homme";19;"French Southern Territories";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_03f31abcea384b50ab6275f44320d0f0"
"42";2023-05-15;"Femme";16;"France";"Aucun";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_9d5ec362faa67a4665c06ebcd3e6e7f0"
