variables;Chisq;Df;Pr..Chisq.;interaction
Gender;0.448;2;0.799;Gender * Age_class
Age_class;1.628;4;0.804;Gender * Age_class
Gender:Age_class;3.739;8;0.88;Gender * Age_class
Gender;0.492;2;0.782;Gender * Education
Education;3.555;4;0.47;Gender * Education
Gender:Education;1.563;8;0.992;Gender * Education
Gender;0.413;2;0.814;Gender * Experience_diving
Experience_diving;1.026;2;0.599;Gender * Experience_diving
Gender:Experience_diving;0.428;4;0.98;Gender * Experience_diving
Gender;0.4;2;0.819;Gender * Knowledge_corals
Knowledge_corals;2.331;4;0.675;Gender * Knowledge_corals
Gender:Knowledge_corals;1.323;8;0.995;Gender * Knowledge_corals
Gender;0.393;2;0.822;Gender * Country
Country;1.03;5;0.96;Gender * Country
Gender:Country;2.01;9;0.991;Gender * Country
Age_class;0.668;4;0.955;Age_class * Education
Education;2.54;4;0.637;Age_class * Education
Age_class:Education;1.867;13;1;Age_class * Education
Age_class;1.647;4;0.8;Age_class * Experience_diving
Experience_diving;1.065;2;0.587;Age_class * Experience_diving
Age_class:Experience_diving;1.524;8;0.992;Age_class * Experience_diving
Age_class;1.421;4;0.841;Age_class * Knowledge_corals
Knowledge_corals;2.144;4;0.709;Age_class * Knowledge_corals
Age_class:Knowledge_corals;3.487;15;0.999;Age_class * Knowledge_corals
Age_class;1;4;0.91;Age_class * Country
Country;0.404;5;0.995;Age_class * Country
Age_class:Country;4.952;20;1;Age_class * Country
Education;3.409;4;0.492;Education * Experience_diving
Experience_diving;0.97;2;0.616;Education * Experience_diving
Education:Experience_diving;3.669;8;0.886;Education * Experience_diving
Education;3.148;4;0.533;Education * Knowledge_corals
Knowledge_corals;2.028;4;0.731;Education * Knowledge_corals
Education:Knowledge_corals;4.002;16;0.999;Education * Knowledge_corals
Education;3.055;4;0.549;Education * Country
Country;0.609;5;0.988;Education * Country
Education:Country;8.318;20;0.99;Education * Country
Experience_diving;1.397;2;0.497;Experience_diving * Knowledge_corals
Knowledge_corals;2.711;4;0.607;Experience_diving * Knowledge_corals
Experience_diving:Knowledge_corals;3.989;8;0.858;Experience_diving * Knowledge_corals
Experience_diving;0.987;2;0.611;Experience_diving * Country
Country;1.003;5;0.962;Experience_diving * Country
Experience_diving:Country;3.334;10;0.972;Experience_diving * Country
Knowledge_corals;2.436;4;0.656;Knowledge_corals * Country
Country;1.14;5;0.95;Knowledge_corals * Country
Knowledge_corals:Country;4.338;20;1;Knowledge_corals * Country
