"Id_images";"Elo_mean_all";"Elo_sd_all"
"R_SalisiNorth_P9082706";2276,868;96,1607480496354
"R_SalisiNorth_P9082704";2198,187;94,3579962825751
"R_SalisiNorth_P9082703";2159,757;97,4010313698572
"H_GoodControl3_P9050601";2146,626;100,127746852157
"R_Block3_P9050652";2085,91;102,032281590125
"R_Block3_P9050685";2059,666;94,6107268423282
"H_SalisiSouth_P8310184";2053,023;102,01713565361
"H_SalisiSouth_P8310168";2051;101,85471212655
"H_GoodControl3_P9050607";2047,221;102,81422529944
"R_Block3_P9050666";2032,664;98,2507318563598
"R_SalisiNorth_P9082714";2025,439;98,7647748934799
"R_SalisiNorth_P9082709";2018,686;101,429084898087
"R_Block3_P9050667";2016,838;92,2041830253236
"H_Gosong2_P9020509";2016,621;94,2832577486146
"R_Block7_P9070518";2002,328;101,993426626793
"R_Block3_P9050683";1997,875;95,6484291402478
"H_H2_P9020508";1995,129;106,726223796431
"H_Gosong2_P9020508";1995,004;101,83575258476
"H_H2_P9020509";1992,986;96,9848021901156
"R_Block3_P9050684";1945,198;103,557273549012
"H_SalisiSouth_P8310183";1944,289;108,880110017199
"R_Block3_P9050669";1935,581;101,592157204212
"H_SalisiSouth_P8310169";1930,833;107,621975453903
"H_H2_P9020505";1929,335;100,902359046065
"R_SalisiNorth_P9082698";1923,323;105,392961564553
"D_SouthEast_P9020429";1920,147;103,466868048587
"R_Block3_P9050672";1909,388;101,90211723756
"R_SalisiNorth_P9082717";1905,158;100,864645504323
"R_Block3_P9050687";1899,475;100,808976905952
"H_Gosong2_P9020507";1897,398;108,07819619374
"D_BadControl3_P9060892";1896,499;102,734738163026
"H_H2_P9020507";1887,179;104,017530280264
"H_SalisiSouth_P8310193";1885,397;104,816964213752
"H_Gosong2_P9020505";1879,432;101,413283301696
"H_GoodControl3_P9050622";1864,33;101,037892672778
"H_Gosong2_P9020459";1862,977;96,9528045871666
"R_Block3_P9050681";1861,248;103,375620989743
"H_H2_P9020501";1858,027;102,33406339793
"H_GoodControl3_P9050587";1857,978;101,97563702447
"H_Gosong2_P9020483";1857,386;99,3241878813932
"R_Block7_P9070556";1855,287;96,4445549690763
"H_SalisiSouth_P8310173";1849,767;104,504822706749
"D_BadControl3_P9060906";1845,805;104,241850225034
"R_Block4_P9050819";1843,199;105,322496301727
"R_Block3_P9050686";1835,93;104,010669257146
"R_Block3_P9050656";1835,164;103,036001094382
"R_SalisiNorth_P9082712";1833,521;104,067226092303
"H_Gosong2_P9020501";1830,468;104,613512334511
"R_Block3_P9050660";1822,722;101,499067861615
"H_H2_P9020499";1822,184;112,352691428694
"R_Block3_P9050705";1819,818;101,292848301927
"H_GoodControl3_P9050597";1815,751;107,542281644669
"R_Block3_P9050693";1815,591;98,4316336626875
"R_Block7_P9070527";1811,073;100,649570326987
"H_Gosong2_P9020479";1810,527;102,157552028406
"R_SalisiNorth_P9082726";1808,938;100,152477127002
"D_BadControl3_P9060883";1805,705;101,697139995593
"R_SalisiNorth_P9082718";1802,578;106,29458337307
"R_Block3_P9050706";1799,623;104,710683304991
"R_Block3_P9050692";1795,88;111,664087639977
"H_SalisiSouth_P8310147";1794,009;105,517965105284
"H_Gosong2_P9020506";1793,382;103,468525706187
"H_Gosong2_P9020481";1789,776;98,5478437181733
"D_SalisiEast_P9082627";1789,681;100,957603362385
"H_GoodControl3_P9050594";1785,442;104,044749727922
"R_SalisiNorth_P9082693";1784,978;107,440061815334
"H_SalisiSouth_P8310158";1784,682;101,690244280274
"H_Gosong2_P9020499";1783,65;104,8040045961
"H_GoodControl3_P9050598";1781,023;108,637592929877
"R_Block4_P9050776";1776,769;107,585939478044
"H_SalisiSouth_P8310154";1775,952;100,869481749181
"R_Block3_P9050680";1773,823;110,422954587803
"H_H2_P9020488";1767,11;103,078285943418
